Simulation number,run_time,ALGORITHM,EARLY_STOP,EXPLORATION_CONSTANT,MAX_ITERATION,EXP_CONST_DECAY,DPW_EXPLORATION,DPW_ALPHA,MIN_SET_SIZE,DPW_PROBABILISTIC,Average_Cost,Total_Time_Penalty_Cost,Total_Fuel_Cost
8656623,25,ProgressiveWideningSolver,True,750000,500,0.9998,8,0.2,6,True,1323513,0,1323513
8656624,25,ProgressiveWideningSolver,True,750000,500,0.9998,4,0.4,6,True,1293541,0,1293541
8656625,39,ProgressiveWideningSolver,True,750000,500,0.9998,8,0.4,6,True,1305353,0,1305353
8656626,25,DPWSolver,True,750000,500,0.9998,4,0.2,11,True,1273706,0,1273706
8656627,30,DPWSolver,True,750000,500,0.9998,8,0.2,11,True,1256065,0,1256065
8656628,33,DPWSolver,True,750000,500,0.9998,4,0.4,11,True,1276548,0,1276548
8656629,44,DPWSolver,True,750000,500,0.9998,8,0.4,11,True,1276648,0,1276648
8656630,88,NAIVE,True,750000,500,0.9998,8,0.4,11,True,1288312,0,1288312
8656631,15,ProgressiveWideningSolver,True,750000,500,0.9998,4,0.2,11,True,1277385,0,1277385
8656632,24,ProgressiveWideningSolver,True,750000,500,0.9998,8,0.2,11,True,1281048,0,1281048
8656633,33,ProgressiveWideningSolver,True,750000,500,0.9998,4,0.4,11,True,1303585,0,1303585
8656634,45,ProgressiveWideningSolver,True,750000,500,0.9998,8,0.4,11,True,1296787,0,1296787
8656635,23,DPWSolver,True,750000,500,0.998,4,0.2,6,True,1243567,0,1243567
8656636,27,DPWSolver,True,750000,500,0.998,8,0.2,6,True,1270026,0,1270026
8656637,30,DPWSolver,True,750000,500,0.998,4,0.4,6,True,1261081,0,1261081
8656638,39,DPWSolver,True,750000,500,0.998,8,0.4,6,True,1282413,0,1282413
8656639,87,NAIVE,True,750000,500,0.998,8,0.4,6,True,1321659,0,1321659
8656640,15,ProgressiveWideningSolver,True,750000,500,0.998,4,0.2,6,True,1306419,0,1306419
8656641,24,ProgressiveWideningSolver,True,750000,500,0.998,8,0.2,6,True,1288889,0,1288889
8656642,23,ProgressiveWideningSolver,True,750000,500,0.998,4,0.4,6,True,1276674,0,1276674
8656643,40,ProgressiveWideningSolver,True,750000,500,0.998,8,0.4,6,True,1302642,0,1302642
8656644,25,DPWSolver,True,750000,500,0.998,4,0.2,11,True,1264911,0,1264911
8656645,29,DPWSolver,True,750000,500,0.998,8,0.2,11,True,1285289,0,1285289
8656646,30,DPWSolver,True,750000,500,0.998,4,0.4,11,True,1263043,0,1263043
8656647,43,DPWSolver,True,750000,500,0.998,8,0.4,11,True,1264613,0,1264613
8656648,87,NAIVE,True,750000,500,0.998,8,0.4,11,True,1301519,0,1301519
8656649,13,ProgressiveWideningSolver,True,750000,500,0.998,4,0.2,11,True,1269826,0,1269826
8656650,22,ProgressiveWideningSolver,True,750000,500,0.998,8,0.2,11,True,1312135,0,1312135
8656651,30,ProgressiveWideningSolver,True,750000,500,0.998,4,0.4,11,True,1295018,0,1295018
8656652,48,ProgressiveWideningSolver,True,750000,500,0.998,8,0.4,11,True,1313813,0,1313813
8656653,49,DPWSolver,True,750000,1000,0.9998,4,0.2,6,True,1257389,0,1257389
8656654,59,DPWSolver,True,750000,1000,0.9998,8,0.2,6,True,1256378,0,1256378
8656655,75,DPWSolver,True,750000,1000,0.9998,4,0.4,6,True,1276513,0,1276513
8656656,97,DPWSolver,True,750000,1000,0.9998,8,0.4,6,True,1261558,0,1261558
8656657,174,NAIVE,True,750000,1000,0.9998,8,0.4,6,True,1297388,0,1297388
